Product_Id,Product_Title,Merchant_Id,Cluster_Id,Cluster_Label,Category_Id,Category_Label
1,2561,1,1,909,2612,7
2,2559,2,1,909,2612,7
3,2656,3,1,909,2612,7
4,2563,4,1,909,2612,7
5,2565,5,1,909,2612,7
6,2565,6,1,909,2612,7
7,2558,7,1,909,2612,7
8,2563,8,1,909,2612,7
9,2563,9,1,909,2612,7
10,2563,10,1,909,2612,7
11,2555,11,1,909,2612,7
12,26656,12,1,909,2612,7
13,2560,13,1,909,2612,7
14,2554,14,1,909,2612,7
15,2566,15,1,909,2612,7
16,2557,16,1,909,2612,7
17,2562,17,1,909,2612,7
18,2544,18,1,909,2612,7
19,15677,19,1,909,2612,7
20,15676,20,1,909,2612,7
21,2543,21,1,909,2612,7
22,26657,22,1,909,2612,7
23,2655,23,1,909,2612,7
24,2652,3,2,901,2612,7
25,2501,2,2,901,2612,7
26,2503,4,2,901,2612,7
27,2506,1,2,901,2612,7
28,2516,5,2,901,2612,7
29,2516,6,2,901,2612,7
30,2513,7,2,901,2612,7
31,2506,9,2,901,2612,7
32,2502,8,2,901,2612,7
33,2502,10,2,901,2612,7
34,2512,11,2,901,2612,7
35,15665,24,2,901,2612,7
36,26649,12,2,901,2612,7
37,2511,14,2,901,2612,7
38,2505,13,2,901,2612,7
39,2515,15,2,901,2612,7
40,26650,22,2,901,2612,7
41,2508,18,2,901,2612,7
42,2504,25,2,901,2612,7
43,15667,20,2,901,2612,7
44,2490,21,2,901,2612,7
45,15666,26,2,901,2612,7
46,2387,5,3,896,2612,7
47,10075,6,3,896,2612,7
48,2651,3,3,896,2612,7
49,2472,2,3,896,2612,7
50,15660,4,3,896,2612,7
51,2488,7,3,896,2612,7
52,2479,9,3,896,2612,7
53,2473,27,3,896,2612,7
54,2480,8,3,896,2612,7
55,2477,10,3,896,2612,7
56,2478,13,3,896,2612,7
57,2475,1,3,896,2612,7
58,2489,15,3,896,2612,7
59,2487,11,3,896,2612,7
60,2486,14,3,896,2612,7
61,26647,22,3,896,2612,7
62,2458,18,3,896,2612,7
63,2476,17,3,896,2612,7
64,2481,25,3,896,2612,7
65,15658,20,3,896,2612,7
66,2457,21,3,896,2612,7
67,15659,26,3,896,2612,7
68,29155,17,4,905,2612,7
69,29155,3,4,905,2612,7
70,10076,5,4,905,2612,7
71,10076,6,4,905,2612,7
72,2541,1,4,905,2612,7
73,2568,28,4,905,2612,7
74,2535,2,4,905,2612,7
75,2540,13,4,905,2612,7
76,2569,15,4,905,2612,7
77,2536,7,4,905,2612,7
78,2538,9,4,905,2612,7
79,2538,4,4,905,2612,7
80,2541,8,4,905,2612,7
81,2541,10,4,905,2612,7
82,2534,11,4,905,2612,7
83,2533,14,4,905,2612,7
84,2537,16,4,905,2612,7
85,2529,18,4,905,2612,7
86,15671,20,4,905,2612,7
87,2519,21,4,905,2612,7
88,26653,22,4,905,2612,7
89,2653,23,4,905,2612,7
90,2611,1,5,915,2612,7
91,2658,3,5,915,2612,7
92,2607,2,5,915,2612,7
93,2596,14,5,915,2612,7
94,2608,13,5,915,2612,7
95,2606,16,5,915,2612,7
96,2615,5,5,915,2612,7
97,2615,6,5,915,2612,7
98,15682,4,5,915,2612,7
99,2606,7,5,915,2612,7
100,2611,8,5,915,2612,7
101,2609,10,5,915,2612,7
102,15683,24,5,915,2612,7
103,2605,11,5,915,2612,7
104,2613,15,5,915,2612,7
105,2572,18,5,915,2612,7
106,2610,17,5,915,2612,7
107,26662,22,5,915,2612,7
108,2614,26,5,915,2612,7
109,2595,21,5,915,2612,7
110,2659,23,5,915,2612,7
111,10062,5,6,9469,2612,7
112,23155,3,6,9469,2612,7
113,23142,2,6,9469,2612,7
114,23152,11,6,9469,2612,7
115,23135,24,6,9469,2612,7
116,23138,6,6,9469,2612,7
117,23145,15,6,9469,2612,7
118,23141,29,6,9469,2612,7
119,23134,30,6,9469,2612,7
120,23151,17,6,9469,2612,7
121,23144,8,6,9469,2612,7
122,585,4,6,9469,2612,7
123,23133,7,6,9469,2612,7
124,23381,31,6,9469,2612,7
125,23153,14,6,9469,2612,7
126,23961,32,6,9469,2612,7
127,22725,33,6,9469,2612,7
128,26628,12,6,9469,2612,7
129,23154,18,6,9469,2612,7
130,23132,21,6,9469,2612,7
131,26704,22,6,9469,2612,7
132,2660,3,7,914,2612,7
